Student ID,Title,First Name,Last Name,Date of Birth,Current School,Contact Email,Course Code
69123456,Mr.,Somchai,Jaidee,1 January 2005,Triam Udom Suksa School,somchai@email.com,CS101
69234567,Ms.,Supaporn,Meesuk,5 February 2005,Mahidol Wittayanusorn School,supaporn@email.com,CS102
69345678,Mr.,Tanakorn,Saengsawang,10 March 2005,Suankularb Wittayalai School,tanakorn@email.com,CS103
69456789,Ms.,Ratchanee,Pongsak,15 April 2005,Bodindecha (Sing Singhaseni) School,ratchanee@email.com,CS104
69567890,Mr.,Veerapol,Nilrat,20 May 2006,Ratwinit Bangkaeo School,veerapol@email.com,CS101
69679003,Mr.,Somchai,Samron,20 June 2006,Triam Udom Suksa School,somchaiss@email.com,CS102
69790112,Ms.,John,Doe,20 July 2006,Mahidol Wittayanusorn School,john@email.com,CS103
69901221,Mr.,Alex,Samlu,20 April 2006,Suankularb Wittayalai School,alex@email.com,CS104
69012330,Ms.,Pachai,Gengmak,20 March 2006,Bodindecha (Sing Singhaseni) School,pachai@email.com,CS104
69123439,Mr.,Veerawat,Howhan,20 September 2006,Ratwinit Bangkaeo School,veerawhat@email.com,CS104
